"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",1,1,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","The arguments against the expansion at Heathrow are being made in bad faith by people with narrow and selfish interests.","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> building a third Runway at Heathrow.","Argument One (For)","Argument Two (Against)"
"2",1,2,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Research from Greenpeace suggests that Heathrow expansion would increase greenhouse-gas emissions to levels that would be irreconcilable with internationally agreed levels.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> building a third Runway at Heathrow.","Argument One (Against)","Argument Two (Against)"
"3",1,3,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","The Airports Commission, an independent body established to study the issue, have argued that expanding Heathrow is ""the most effective option to address the UK's aviation capacity challenge"".","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> building a third Runway at Heathrow.","Argument One (For)","Argument Two (Against)"
"4",1,4,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","The Heathrow expansion is another example of London and the south-east getting more than their fair share of investment, spending, jobs and benefits.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> building a third Runway at Heathrow.","Argument One (Against)","Argument Two (Against)"
"5",1,5,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","The decision to expand Heathrow is the result of a fair and transparent process which weighed all the relevant concerns.","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> building a third Runway at Heathrow.","Argument One (For)","Argument Two (Against)"
"6",1,6,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","History show us that most large infrastructure projects do not lead to significant economic growth, which suggests that the expansion of Heathrow will fail to pay for itself.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> building a third Runway at Heathrow.","Argument One (Against)","Argument Two (Against)"
"7",1,7,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","We must learn from the lessons of history: failure to invest in transport infrastructure projects like the Heathrow expansion leads to increasing delays and increasing prices.","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> building a third Runway at Heathrow.","Argument One (For)","Argument Two (Against)"
"8",1,8,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Great nations don't waste money on vanity projects, and the expansion of Heathrow would be nothing more than a project of national vanity.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> building a third Runway at Heathrow.","Argument One (Against)","Argument Two (Against)"
"9",1,9,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","Only by expanding Heathrow will Great Britain get the great international airport it deserves.","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> building a third Runway at Heathrow.","Argument One (For)","Argument Two (Against)"
"10",1,10,"Building a third runway at Heathrow","London's Heathrow airport has two runways that are currently operating at full capacity. Some people are in favour of building a third runway at Heathrow (""for""), others are opposed (""against"").","Building a third runway would be giving a blank cheque to the foreign-owned multinational company that runs Heathrow. ","Expanding Heathrow will enrich a private foreign-owned business at the expense of higher fares for ordinary passengers.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> building a third Runway at Heathrow.","Argument One (Against)","Argument Two (Against)"
