"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",10,1,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","Only hippies and cowards think it is a good idea to unilaterally drop our nuclear deterrant.","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> renewing Trident.","Argument One (For)","Argument Two (Against)"
"2",10,2,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","A recent report by Chatham House documents 13 incidents since 1962 in which nuclear weapons have nearly been used in error.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> renewing Trident.","Argument One (Against)","Argument Two (Against)"
"3",10,3,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","Experts within the UK armed forces emphasise the strategic importance of the Trident deterrent, particularly in our relationship with our NATO allies.","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> renewing Trident.","Argument One (For)","Argument Two (Against)"
"4",10,4,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","It is not fair to spend vast amounts of money on our nuclear arsenal when that money is desparately needed elsewhere.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> renewing Trident.","Argument One (Against)","Argument Two (Against)"
"5",10,5,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","Failing to renew Trident would be unfair to our children, who face an increasingly dangerous world.","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> renewing Trident.","Argument One (For)","Argument Two (Against)"
"6",10,6,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","The Trident system was designed to deter the Soviet Union, which no longer exists.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> renewing Trident.","Argument One (Against)","Argument Two (Against)"
"7",10,7,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","Our Trident nuclear deterrent has been a vital part of our national security strategy for over half a century.","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> renewing Trident.","Argument One (For)","Argument Two (Against)"
"8",10,8,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","Great Britain does not need status-symbol weapons such as Trident in order to hold on to our place as a leading nation in the world. ","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> renewing Trident.","Argument One (Against)","Argument Two (Against)"
"9",10,9,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","The Trident system guarantees the UK a place at the world's top table.","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> renewing Trident.","Argument One (For)","Argument Two (Against)"
"10",10,10,"Renewing Trident","The UK's nuclear deterrent consists of 4 missile-carrying nuclear submarines, commonly known as the Trident programme. The submarines were built in the 1990s and are now due for renewal. Some people think the UK should renew the Trident programme (""for""), while others are opposed (""against"").","The military industrial complex is lobbying hard to spend massive amounts of public money on a Trident replacement.","These kinds of weapon systems are just toys for elites, they are irrelevant to the concerns of ordinary people.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> renewing Trident.","Argument One (Against)","Argument Two (Against)"
