"","policy_id","pair_id","policy","description","text_one","text_two","element_one","element_two","pro_con_one","pro_con_two","prompt","text_one_title","text_two_title"
"1",5,1,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Anti-fracking environmental messages are often promoted by Russia with the goal of maintaining other countries' dependence on Russian gas and oil supplies.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Ad hominem","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"2",5,2,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","The Committee on Climate Change, the government's official advisers, has said that shale gas production through fracking will break the UK's climate change targets.","Ad hominem","Appeal to authority/endorsement","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"3",5,3,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","The government's Chief Scientific Advisor has said that fracking could dramatically increase accessible UK natural gas reserves.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Appeal to authority/endorsement","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"4",5,4,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Fracking is unfair to those residents who live closest to the drilling sites.","Ad hominem","Appeal to fairness","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"5",5,5,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","It is unfair to make people pay more to heat their homes because of misplaced concerns about fracking.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Appeal to fairness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"6",5,6,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","History shows us that government regulation does not prevent environmental disasters and fracking creates a high risk of accidents.","Ad hominem","Appeal to history","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"7",5,7,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","The UK has a long history of effective regulation of successful and safe onshore and offshore gas extraction, and there is no reason for fracking to be any different.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Appeal to history","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"8",5,8,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","The UK should be leading the world by adopting clean and renewable energy sources, not investing further in fossil fuels such as those produced by fracking.","Ad hominem","Appeal to national greatness","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"9",5,9,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking has the potential to help make the UK a world leader in new energy technologies, and to make it self-sufficient in energy production.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Appeal to national greatness","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"10",5,10,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Fracking will produce windfall profits for energy multinationals, but little benefit for ordinary people.","Ad hominem","Appeal to populism","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"11",5,11,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking will enable us to reduce the cost of fuel, which may not be much concern to elites, but matters a great deal to ordinary people who are struggling to get by.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Appeal to populism","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"12",5,12,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","It is common sense that as we are trying to address climate change we should not be using fracking to increase our use of fossil fuels.","Ad hominem","Common sense","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"13",5,13,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","It is common sense that we should use fracking to take advantage of the natural gas resources that we have.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Common sense","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"14",5,14,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","The benefits that could results from fracking are too uncertain to justify the costs of extracting gas in this way in the UK.","Ad hominem","Cost/benefit","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"15",5,15,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","The benefits of fracking include both lower gas prices and jobs in communities that desparately need them.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Cost/benefit","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"16",5,16,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","In the US, fracking has caused increased earthquakes and water supplies so tainted with gas that kitchen taps can sustain a flame.","Ad hominem","Country comparison","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"17",5,17,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","In the US, the development of new fracking technologies has helped to increase domestic energy production, reduced carbon emissions and improved the security of energy supply.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Country comparison","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"18",5,18,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","The climate change crisis cannot be effectively addressed through fracking: we will just be switching between different non-renewable fossil fuel energy sources.","Ad hominem","Crisis","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"19",5,19,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","The climate change crisis can be most effectively addressed if we use all the tools at our disposal to reduce carbon emissions: gas from fracking is better for the environment than coal or oil.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Crisis","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"20",5,20,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Fracking is another scorched earth resource extraction technology.","Ad hominem","Metaphor","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"21",5,21,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking can provide a bridge to a greener future.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Metaphor","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"22",5,22,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","It is our moral duty to protect the environment from a risky fracking scheme with unclear benefits.","Ad hominem","Morality","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"23",5,23,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","It is our moral duty to take responsibility for generating our own energy supplies, and fracking can help us to achieve this.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Morality","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"24",5,24,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","A recent survey showed that only 19% of people support fracking.","Ad hominem","Public Opinion","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"25",5,25,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","The tiny group of people who protest about fracking are not at all representative of public opinion.","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Public Opinion","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
"26",5,26,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","One side-effect of exploratory fracking seems to be that it can cause small earthquakes. ","Ad hominem","Side Effects","Con","Con","Please read the following <b>two arguments against</b> fracking in the UK.","Argument One (Against)","Argument Two (Against)"
"27",5,27,"Fracking in the UK","Fracking is a process of injecting liquid underground to force out oil or gas. Some people are in favour of allowing fracking in the UK (""for""), others are opposed (""against"").","One side-effect of fracking would be to decrease the usage of oil and coal, thereby reducing pollution and greenhouse gas emissions. ","Fracking companies are interested in their own short-term profits, this push for drilling is nothing more than selfishness.","Side Effects","Ad hominem","Pro","Con","Please read the following <b>arguments for and against</b> fracking in the UK.","Argument One (For)","Argument Two (Against)"
